IL 2214,
IN 1211,
MS 350,
CA 8175,
KS 573,
WI 1135,
NY 2388,
MN 950,
WA 3447,
ME 512,
SC 944,
OH 2127,
FL 3578,
UT 571,
TX 3201,
PA 2207,
MI 1714,
NC 1654,
MA 1198,
NJ 1187,
NH 472,
WV 418,
LA 523,
OR 1562,
MT 427,
MO 1314,
VT 246,
CT 831,
KY 809,
OK 674,
AZ 2159,
NM 630,
NV 717,
GA 1166,
ID 479,
TN 1052,
AL 591,
IA 619,
AR 532,
VA 1201,
CO 1298,
MD 784,
NE 346,
ND 117,
HI 239,
AK 287,
DE 159,
SD 161,
RI 219,
WY 157,
DC 7,
